timestamp,mac_id,project_name,resource_type,allocated_capacity,used_capacity,capacity_unit,utilization_pct
2025-01-01 00:00:00,mac-waste-scenario,Project Vega,cpu,12,1.8,cores,15.0
2025-01-01 01:00:00,mac-waste-scenario,Project Vega,cpu,12,1.87,cores,15.6
2025-01-01 02:00:00,mac-waste-scenario,Project Vega,cpu,12,1.73,cores,14.45
2025-01-01 03:00:00,mac-waste-scenario,Project Vega,cpu,12,1.59,cores,13.22
2025-01-01 04:00:00,mac-waste-scenario,Project Vega,cpu,12,1.69,cores,14.09
2025-01-01 05:00:00,mac-waste-scenario,Project Vega,cpu,12,1.56,cores,13.02
2025-01-01 06:00:00,mac-waste-scenario,Project Vega,cpu,12,1.81,cores,15.12
2025-01-01 07:00:00,mac-waste-scenario,Project Vega,cpu,12,2.12,cores,17.68
2025-01-01 08:00:00,mac-waste-scenario,Project Vega,cpu,12,1.68,cores,14.02
2025-01-01 09:00:00,mac-waste-scenario,Project Vega,cpu,12,1.65,cores,13.76
2025-01-01 10:00:00,mac-waste-scenario,Project Vega,cpu,12,1.92,cores,15.98
2025-01-01 11:00:00,mac-waste-scenario,Project Vega,cpu,12,1.89,cores,15.71
2025-01-01 12:00:00,mac-waste-scenario,Project Vega,cpu,12,1.83,cores,15.21
2025-01-01 13:00:00,mac-waste-scenario,Project Vega,cpu,12,1.58,cores,13.14
2025-01-01 14:00:00,mac-waste-scenario,Project Vega,cpu,12,1.79,cores,14.94
2025-01-01 15:00:00,mac-waste-scenario,Project Vega,cpu,12,1.97,cores,16.39
2025-01-01 16:00:00,mac-waste-scenario,Project Vega,cpu,12,1.48,cores,12.31
2025-01-01 17:00:00,mac-waste-scenario,Project Vega,cpu,12,1.69,cores,14.08
2025-01-01 18:00:00,mac-waste-scenario,Project Vega,cpu,12,1.34,cores,11.2
2025-01-01 19:00:00,mac-waste-scenario,Project Vega,cpu,12,1.49,cores,12.42
2025-01-01 20:00:00,mac-waste-scenario,Project Vega,cpu,12,1.36,cores,11.32
2025-01-01 21:00:00,mac-waste-scenario,Project Vega,cpu,12,1.74,cores,14.53
2025-01-01 22:00:00,mac-waste-scenario,Project Vega,cpu,12,1.5,cores,12.47
2025-01-01 23:00:00,mac-waste-scenario,Project Vega,cpu,12,1.87,cores,15.54
2025-01-02 00:00:00,mac-waste-scenario,Project Vega,cpu,12,1.84,cores,15.31
2025-01-02 01:00:00,mac-waste-scenario,Project Vega,cpu,12,1.76,cores,14.63
2025-01-02 02:00:00,mac-waste-scenario,Project Vega,cpu,12,1.2,cores,9.97
2025-01-02 03:00:00,mac-waste-scenario,Project Vega,cpu,12,1.67,cores,13.92
2025-01-02 04:00:00,mac-waste-scenario,Project Vega,cpu,12,1.79,cores,14.9
2025-01-02 05:00:00,mac-waste-scenario,Project Vega,cpu,12,1.83,cores,15.23
2025-01-02 06:00:00,mac-waste-scenario,Project Vega,cpu,12,1.43,cores,11.94
2025-01-02 07:00:00,mac-waste-scenario,Project Vega,cpu,12,1.69,cores,14.04
2025-01-02 08:00:00,mac-waste-scenario,Project Vega,cpu,12,1.57,cores,13.04
2025-01-02 09:00:00,mac-waste-scenario,Project Vega,cpu,12,1.61,cores,13.38
2025-01-02 10:00:00,mac-waste-scenario,Project Vega,cpu,12,2.05,cores,17.12
2025-01-02 11:00:00,mac-waste-scenario,Project Vega,cpu,12,1.61,cores,13.38
2025-01-02 12:00:00,mac-waste-scenario,Project Vega,cpu,12,1.79,cores,14.93
2025-01-02 13:00:00,mac-waste-scenario,Project Vega,cpu,12,2.01,cores,16.77
2025-01-02 14:00:00,mac-waste-scenario,Project Vega,cpu,12,1.66,cores,13.83
2025-01-02 15:00:00,mac-waste-scenario,Project Vega,cpu,12,1.77,cores,14.78
2025-01-02 16:00:00,mac-waste-scenario,Project Vega,cpu,12,1.83,cores,15.22
2025-01-02 17:00:00,mac-waste-scenario,Project Vega,cpu,12,1.82,cores,15.13
2025-01-02 18:00:00,mac-waste-scenario,Project Vega,cpu,12,1.51,cores,12.55
2025-01-02 19:00:00,mac-waste-scenario,Project Vega,cpu,12,1.82,cores,15.15
2025-01-02 20:00:00,mac-waste-scenario,Project Vega,cpu,12,2.13,cores,17.72
2025-01-02 21:00:00,mac-waste-scenario,Project Vega,cpu,12,1.43,cores,11.91
2025-01-02 22:00:00,mac-waste-scenario,Project Vega,cpu,12,2.01,cores,16.72
2025-01-02 23:00:00,mac-waste-scenario,Project Vega,cpu,12,1.83,cores,15.24
2025-01-03 00:00:00,mac-waste-scenario,Project Vega,cpu,12,1.65,cores,13.72
2025-01-03 01:00:00,mac-waste-scenario,Project Vega,cpu,12,2.28,cores,19.0
2025-01-03 02:00:00,mac-waste-scenario,Project Vega,cpu,12,1.98,cores,16.52
2025-01-03 03:00:00,mac-waste-scenario,Project Vega,cpu,12,1.51,cores,12.6
2025-01-03 04:00:00,mac-waste-scenario,Project Vega,cpu,12,1.82,cores,15.15
2025-01-03 05:00:00,mac-waste-scenario,Project Vega,cpu,12,1.94,cores,16.15
2025-01-03 06:00:00,mac-waste-scenario,Project Vega,cpu,12,1.75,cores,14.62
2025-01-03 07:00:00,mac-waste-scenario,Project Vega,cpu,12,1.96,cores,16.37
2025-01-03 08:00:00,mac-waste-scenario,Project Vega,cpu,12,1.78,cores,14.87
2025-01-03 09:00:00,mac-waste-scenario,Project Vega,cpu,12,1.96,cores,16.33
2025-01-03 10:00:00,mac-waste-scenario,Project Vega,cpu,12,2.15,cores,17.88
2025-01-03 11:00:00,mac-waste-scenario,Project Vega,cpu,12,1.64,cores,13.65
2025-01-03 12:00:00,mac-waste-scenario,Project Vega,cpu,12,1.85,cores,15.41
2025-01-03 13:00:00,mac-waste-scenario,Project Vega,cpu,12,1.69,cores,14.07
2025-01-03 14:00:00,mac-waste-scenario,Project Vega,cpu,12,1.83,cores,15.25
2025-01-03 15:00:00,mac-waste-scenario,Project Vega,cpu,12,1.52,cores,12.63
2025-01-03 16:00:00,mac-waste-scenario,Project Vega,cpu,12,1.66,cores,13.84
2025-01-03 17:00:00,mac-waste-scenario,Project Vega,cpu,12,1.75,cores,14.61
2025-01-03 18:00:00,mac-waste-scenario,Project Vega,cpu,12,2.02,cores,16.8
2025-01-03 19:00:00,mac-waste-scenario,Project Vega,cpu,12,2.07,cores,17.29
2025-01-03 20:00:00,mac-waste-scenario,Project Vega,cpu,12,1.48,cores,12.35
2025-01-03 21:00:00,mac-waste-scenario,Project Vega,cpu,12,1.61,cores,13.41
2025-01-03 22:00:00,mac-waste-scenario,Project Vega,cpu,12,1.96,cores,16.29
2025-01-03 23:00:00,mac-waste-scenario,Project Vega,cpu,12,1.32,cores,11.02
2025-01-04 00:00:00,mac-waste-scenario,Project Vega,cpu,12,1.69,cores,14.07
2025-01-04 01:00:00,mac-waste-scenario,Project Vega,cpu,12,1.78,cores,14.81
2025-01-04 02:00:00,mac-waste-scenario,Project Vega,cpu,12,2.1,cores,17.51
2025-01-04 03:00:00,mac-waste-scenario,Project Vega,cpu,12,1.97,cores,16.38
2025-01-04 04:00:00,mac-waste-scenario,Project Vega,cpu,12,1.72,cores,14.35
2025-01-04 05:00:00,mac-waste-scenario,Project Vega,cpu,12,1.71,cores,14.26
2025-01-04 06:00:00,mac-waste-scenario,Project Vega,cpu,12,1.74,cores,14.5
2025-01-04 07:00:00,mac-waste-scenario,Project Vega,cpu,12,2.17,cores,18.05
2025-01-04 08:00:00,mac-waste-scenario,Project Vega,cpu,12,1.7,cores,14.14
2025-01-04 09:00:00,mac-waste-scenario,Project Vega,cpu,12,1.73,cores,14.39
2025-01-04 10:00:00,mac-waste-scenario,Project Vega,cpu,12,1.88,cores,15.71
2025-01-04 11:00:00,mac-waste-scenario,Project Vega,cpu,12,1.77,cores,14.76
2025-01-04 12:00:00,mac-waste-scenario,Project Vega,cpu,12,1.75,cores,14.61
2025-01-04 13:00:00,mac-waste-scenario,Project Vega,cpu,12,1.53,cores,12.77
2025-01-04 14:00:00,mac-waste-scenario,Project Vega,cpu,12,1.8,cores,14.98
2025-01-04 15:00:00,mac-waste-scenario,Project Vega,cpu,12,1.69,cores,14.11
2025-01-04 16:00:00,mac-waste-scenario,Project Vega,cpu,12,2.08,cores,17.33
2025-01-04 17:00:00,mac-waste-scenario,Project Vega,cpu,12,1.96,cores,16.31
2025-01-04 18:00:00,mac-waste-scenario,Project Vega,cpu,12,1.79,cores,14.95
2025-01-04 19:00:00,mac-waste-scenario,Project Vega,cpu,12,1.96,cores,16.34
2025-01-04 20:00:00,mac-waste-scenario,Project Vega,cpu,12,1.72,cores,14.32
2025-01-04 21:00:00,mac-waste-scenario,Project Vega,cpu,12,2.05,cores,17.1
2025-01-04 22:00:00,mac-waste-scenario,Project Vega,cpu,12,1.8,cores,14.99
2025-01-04 23:00:00,mac-waste-scenario,Project Vega,cpu,12,1.94,cores,16.17
2025-01-05 00:00:00,mac-waste-scenario,Project Vega,cpu,12,1.49,cores,12.42
2025-01-05 01:00:00,mac-waste-scenario,Project Vega,cpu,12,1.88,cores,15.69
2025-01-05 02:00:00,mac-waste-scenario,Project Vega,cpu,12,1.39,cores,11.62
2025-01-05 03:00:00,mac-waste-scenario,Project Vega,cpu,12,1.31,cores,10.93
2025-01-05 04:00:00,mac-waste-scenario,Project Vega,cpu,12,1.73,cores,14.39
2025-01-05 05:00:00,mac-waste-scenario,Project Vega,cpu,12,1.58,cores,13.2
2025-01-05 06:00:00,mac-waste-scenario,Project Vega,cpu,12,1.84,cores,15.33
2025-01-05 07:00:00,mac-waste-scenario,Project Vega,cpu,12,2.34,cores,19.49
2025-01-05 08:00:00,mac-waste-scenario,Project Vega,cpu,12,1.6,cores,13.34
2025-01-05 09:00:00,mac-waste-scenario,Project Vega,cpu,12,1.65,cores,13.75
2025-01-05 10:00:00,mac-waste-scenario,Project Vega,cpu,12,1.85,cores,15.41
2025-01-05 11:00:00,mac-waste-scenario,Project Vega,cpu,12,1.92,cores,15.99
2025-01-05 12:00:00,mac-waste-scenario,Project Vega,cpu,12,1.76,cores,14.65
2025-01-05 13:00:00,mac-waste-scenario,Project Vega,cpu,12,1.75,cores,14.59
2025-01-05 14:00:00,mac-waste-scenario,Project Vega,cpu,12,1.97,cores,16.4
2025-01-05 15:00:00,mac-waste-scenario,Project Vega,cpu,12,1.92,cores,16.04
2025-01-05 16:00:00,mac-waste-scenario,Project Vega,cpu,12,1.55,cores,12.93
2025-01-05 17:00:00,mac-waste-scenario,Project Vega,cpu,12,1.78,cores,14.84
2025-01-05 18:00:00,mac-waste-scenario,Project Vega,cpu,12,1.81,cores,15.07
2025-01-05 19:00:00,mac-waste-scenario,Project Vega,cpu,12,1.55,cores,12.89
2025-01-05 20:00:00,mac-waste-scenario,Project Vega,cpu,12,1.86,cores,15.52
2025-01-05 21:00:00,mac-waste-scenario,Project Vega,cpu,12,1.59,cores,13.28
2025-01-05 22:00:00,mac-waste-scenario,Project Vega,cpu,12,2.03,cores,16.94
2025-01-05 23:00:00,mac-waste-scenario,Project Vega,cpu,12,1.85,cores,15.39
2025-01-06 00:00:00,mac-waste-scenario,Project Vega,cpu,12,1.82,cores,15.18
2025-01-06 01:00:00,mac-waste-scenario,Project Vega,cpu,12,1.66,cores,13.82
2025-01-06 02:00:00,mac-waste-scenario,Project Vega,cpu,12,1.77,cores,14.76
2025-01-06 03:00:00,mac-waste-scenario,Project Vega,cpu,12,1.32,cores,11.0
2025-01-06 04:00:00,mac-waste-scenario,Project Vega,cpu,12,1.53,cores,12.74
2025-01-06 05:00:00,mac-waste-scenario,Project Vega,cpu,12,1.89,cores,15.73
2025-01-06 06:00:00,mac-waste-scenario,Project Vega,cpu,12,1.29,cores,10.74
2025-01-06 07:00:00,mac-waste-scenario,Project Vega,cpu,12,2.0,cores,16.69
2025-01-06 08:00:00,mac-waste-scenario,Project Vega,cpu,12,1.38,cores,11.51
2025-01-06 09:00:00,mac-waste-scenario,Project Vega,cpu,12,1.98,cores,16.51
2025-01-06 10:00:00,mac-waste-scenario,Project Vega,cpu,12,1.6,cores,13.31
2025-01-06 11:00:00,mac-waste-scenario,Project Vega,cpu,12,1.99,cores,16.56
2025-01-06 12:00:00,mac-waste-scenario,Project Vega,cpu,12,1.83,cores,15.26
2025-01-06 13:00:00,mac-waste-scenario,Project Vega,cpu,12,1.43,cores,11.93
2025-01-06 14:00:00,mac-waste-scenario,Project Vega,cpu,12,2.1,cores,17.5
2025-01-06 15:00:00,mac-waste-scenario,Project Vega,cpu,12,2.15,cores,17.88
2025-01-06 16:00:00,mac-waste-scenario,Project Vega,cpu,12,1.78,cores,14.87
2025-01-06 17:00:00,mac-waste-scenario,Project Vega,cpu,12,1.73,cores,14.45
2025-01-06 18:00:00,mac-waste-scenario,Project Vega,cpu,12,1.76,cores,14.68
2025-01-06 19:00:00,mac-waste-scenario,Project Vega,cpu,12,1.57,cores,13.05
2025-01-06 20:00:00,mac-waste-scenario,Project Vega,cpu,12,2.06,cores,17.2
2025-01-06 21:00:00,mac-waste-scenario,Project Vega,cpu,12,1.67,cores,13.91
2025-01-06 22:00:00,mac-waste-scenario,Project Vega,cpu,12,1.79,cores,14.9
